,Popularity,Score
1136,7807,6.54
1137,5036,6.53
1138,5149,6.53
1139,1375,6.51
1140,9003,6.51
1141,6800,6.54
1142,11900,6.52
1143,1603,6.58
1144,6100,6.52
1145,10048,6.52
1146,8603,6.52
1147,4024,6.52
1148,959,6.52
1149,5348,6.52
1150,14300,6.52
1151,6077,6.52
1152,10256,6.52
1153,8141,6.52
1154,3552,6.52
1155,8409,6.52
1156,8065,6.52
1157,10306,6.52
1158,3949,6.52
1159,7426,6.52
1160,6798,6.52
1161,4254,6.52
1162,1594,6.51
1163,8345,6.51
1164,10627,6.51
1165,7615,6.51
1166,2863,6.52
1167,7800,6.5
1168,9554,6.5
1169,7072,6.52
1170,11024,6.49
1171,510,6.52
1172,3502,6.49
1173,8228,6.5
1174,12593,6.52
1175,15007,6.52
1176,6151,6.49
1177,11413,6.49
1178,7041,6.49
1179,8101,6.52
1180,7655,6.49
1181,13005,6.49
1182,10666,6.49
1183,4244,6.49
1184,2335,6.48
1185,11190,6.48
1186,1465,6.48
1187,13301,6.48
1188,10811,6.49
1189,10151,6.49
1190,11602,6.49
1191,6754,6.48
1192,6154,6.48
1193,10615,6.48
1194,3631,6.48
1195,13529,6.5
1196,8000,6.48
1197,11587,6.47
1198,6384,6.48
1199,6771,6.48
1200,11967,6.47
1201,6438,6.47
1202,11142,6.47
1203,7744,6.47
1204,9744,6.48
1205,6681,6.48
1206,11635,6.46
1207,2242,6.46
1208,2167,6.46
1209,3360,6.47
1210,268,6.45
1211,9439,6.47
1212,2782,6.46
1213,2431,6.48
1214,4965,6.45
1215,12360,6.44
1216,9219,6.44
1217,9936,6.44
1218,9188,6.44
1219,7253,6.44
1220,8930,6.44
1221,10538,6.46
1222,8762,6.44
1223,3534,6.45
1224,9547,6.44
1225,5271,6.48
1226,11699,6.44
1227,6753,6.44
1228,10831,6.44
1229,6897,6.44
1230,8231,6.44
1231,5869,6.44
1232,6191,6.44
1233,2793,6.44
1234,5414,6.44
1235,865,6.44
1236,13256,6.44
1237,1414,6.44
1238,16232,6.44
1239,2098,6.46
1240,11957,6.44
1241,9064,6.44
1242,11878,6.44
1243,7443,6.44
1244,5263,6.44
1245,10694,6.45
1246,8213,6.45
1247,10610,6.45
1248,5925,6.45
1249,5549,6.45
1250,14041,6.45
1251,9355,6.45
1252,4063,6.43
1253,4726,6.43
1254,2309,6.45
1255,7516,6.45
1256,13058,6.43
1257,11248,6.42
1258,9771,6.44
1259,14608,6.42
1260,13741,6.42
1261,3909,6.42
1262,10344,6.42
1263,11546,6.43
1264,12190,6.42
1265,5080,6.42
1266,10464,6.42
1267,10342,6.42
1268,2850,6.42
1269,6242,6.42
1270,11283,6.41
1271,9421,6.45
1272,6774,6.41
1273,16886,6.41
1274,7314,6.42
1275,4454,6.41
1276,5792,6.4
1277,7498,6.4
1278,4664,6.42
1279,4123,6.4
1280,1553,6.4
1281,13585,6.4
1282,11846,6.4
1283,15911,6.4
1284,11526,6.4
1285,3943,6.42
1286,11037,6.4
1287,5243,6.4
1288,8319,6.4
1289,7065,6.4
1290,9348,6.4
1291,842,6.4
1292,1286,6.4
1293,1363,6.4
1294,2592,6.4
1295,2403,6.4
1296,11749,6.4
1297,7120,6.4
1298,4581,6.4
1299,3418,6.4
1300,10578,6.4
